time,gt_x,gt_y,gt_z,slam_x,slam_y,slam_z,err_x,err_y,err_z,position_error_norm,dvl_matched,dvl_time_diff,dvl_residual_x,dvl_residual_y,dvl_residual_z,yaw_error,depth_residual,mag_residual,mag_matched,mag_time_diff,mag_yaw_measured,sonar_up_matched,sonar_down_matched,sonar_left_matched,sonar_right_matched,sonar_up_residual,sonar_down_residual,sonar_left_residual,sonar_right_residual,sonar_up_range,sonar_down_range,sonar_left_range,sonar_right_range
11.25,2.244,0.232598,0.198074,2.22804,0.187755,0.190368,-0.0159602,-0.0448432,-0.00770618,0.04821852113526917,1,0.03,-0.0136385,0.025303,0.0162089,0.00216516,,-0.00186029,1,0.01,0.184236,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,2.296,0.222512,0.197027,2.26953,0.172604,0.191605,-0.0264693,-0.0499074,-0.00542212,0.056751844045320674,1,0.08,0.0238931,0.00570455,0.00785463,0.00217889,,-0.00144227,1,0.02,0.186076,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.75,2.344,0.212663,0.195793,2.32291,0.159805,0.185721,-0.0210911,-0.052858,-0.0100719,0.057794859916951095,1,0.03,-0.0224526,-0.000588786,-0.00664728,0.00160026,,0.0112265,1,0.01,0.175516,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,2.396,0.201439,0.19417,2.36801,0.150866,0.203432,-0.0279943,-0.0505726,0.00926225,0.05854107940850169,1,0.08,0.00488767,-0.0168885,-0.00312499,0.00207001,,-0.00856522,1,0.02,0.196551,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.25,2.444,0.190591,0.192408,2.42194,0.137454,0.19693,-0.0220601,-0.0531371,0.00452241,0.05771179775945383,1,0.03,-0.0256366,0.0010966,0.000834533,0.00195356,,0.00495791,1,0.01,0.185366,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,2.496,0.178342,0.190217,2.47022,0.130256,0.211054,-0.0257831,-0.048086,0.0208365,0.05840540534796416,1,0.08,-0.00694167,-0.0219937,-0.038201,0.0023854,,-0.00903498,1,0.02,0.200703,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.75,2.544,0.166603,0.187937,2.51733,0.11785,0.206645,-0.0266653,-0.0487525,0.0187081,0.05863307501700725,1,0.03,-0.00259829,-0.00899935,-0.00188757,0.00168308,,0.0143627,1,0.01,0.179386,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,2.596,0.15345,0.185192,2.56892,0.0960478,0.186709,-0.0270774,-0.0574027,0.00151722,0.06348667194441995,1,0.08,-0.012689,0.0252672,0.00648213,0.00113159,,0.00980963,1,0.02,0.184591,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.25,2.644,0.140938,0.182407,2.62337,0.0845126,0.204421,-0.0206308,-0.0564253,0.0220146,0.06398505295684297,1,0.03,-0.0283973,-0.0102075,0.00978381,0.00136994,,-0.00251459,1,0.01,0.197682,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,2.696,0.127014,0.179122,2.66725,0.0729228,0.196804,-0.0287531,-0.0540911,0.0176814,0.06375907594044945,1,0.08,0.00958269,-0.0188034,-0.0126284,0.000966386,,0.00702394,1,0.02,0.189474,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
