time,gt_x,gt_y,gt_z,slam_x,slam_y,slam_z,err_x,err_y,err_z,position_error_norm,dvl_matched,dvl_time_diff,dvl_residual_x,dvl_residual_y,dvl_residual_z,yaw_error,depth_residual,mag_residual,mag_matched,mag_time_diff,mag_yaw_measured,sonar_up_matched,sonar_down_matched,sonar_left_matched,sonar_right_matched,sonar_up_residual,sonar_down_residual,sonar_left_residual,sonar_right_residual,sonar_up_range,sonar_down_range,sonar_left_range,sonar_right_range
11.755,2.344,0.212663,0.195793,2.32287,0.206955,0.235904,-0.0211342,-0.00570777,0.0401105,0.045695571538858115,1,0.035,-0.0203692,0.000741813,-0.0051452,-0.000152234,,0.00849803,1,0.015,0.175516,1,1,1,1,-0.0193206,0.0625708,-0.014852,-0.00139086,2.27703,2.66565,2.33358,2.74618
12.005,2.396,0.201439,0.19417,2.36781,0.188103,0.200678,-0.0281884,-0.0133357,0.00650807,0.0318556394406846,1,0.085,0.00479448,-0.023492,-0.00380963,-0.00196264,,-0.0159976,1,0.005,0.202173,1,1,1,1,-0.0161782,0.0155548,0.00868536,0.0291357,2.30995,2.67927,2.33334,2.69869
12.255,2.444,0.190591,0.192408,2.42174,0.185879,0.215898,-0.0222576,-0.00471198,0.0234902,0.03270157502812976,1,0.035,-0.0233415,0.00467342,-0.00314983,-0.00115526,,0.000896276,1,0.015,0.185366,1,1,1,1,-0.0232435,0.0626735,0.0119082,-0.0319072,2.30122,2.64802,2.33287,2.75678
12.505,2.496,0.178342,0.190217,2.47011,0.175336,0.178911,-0.0258946,-0.00300547,-0.0113066,0.02841482645804651,1,0.085,-0.00482268,-0.0205701,-0.0421774,0.000657943,,-0.0187744,1,0.005,0.207253,1,1,1,1,0.00412342,-0.0290828,-0.00767372,-0.0187691,2.31098,2.70385,2.36849,2.73697
12.755,2.544,0.166603,0.187937,2.51728,0.16206,0.193419,-0.0267165,-0.00454319,0.00548151,0.027648849876734476,1,0.035,-0.000884683,-0.00895252,-0.00220974,0.000835515,,0.0125582,1,0.015,0.179386,1,1,1,1,0.0249446,-0.032232,-0.00199774,-0.00229476,2.27604,2.72262,2.3766,2.70612
13.005,2.596,0.15345,0.185192,2.569,0.159265,0.190068,-0.0270001,0.00581494,0.00487585,0.02804626250387206,1,0.085,-0.00808222,0.0396332,0.00558026,0.00176164,,0.0069672,1,0.005,0.186569,1,1,1,1,0.0154721,0.022256,0.00925403,-0.0296541,2.28845,2.6653,2.37025,2.73146
13.255,2.644,0.140938,0.182407,2.62339,0.150917,0.17022,-0.0206081,0.00997883,-0.012187,0.025938269078311683,1,0.035,-0.0232755,0.00582131,0.00972966,0.00125977,,-0.00190129,1,0.015,0.197682,1,1,1,1,0.00238734,-0.0526102,0.0163174,0.00142001,2.32146,2.72101,2.37396,2.69328
13.505,2.696,0.127014,0.179122,2.66694,0.13735,0.171911,-0.0290553,0.0103362,-0.00721111,0.03167092666724641,1,0.085,0.013546,-0.00565828,-0.00996044,-0.00233367,,0.00547676,1,0.005,0.190932,1,1,1,1,0.0359483,-0.0434795,0.0351045,0.0436435,2.28672,2.71437,2.36831,2.63529
13.755,2.744,0.113853,0.175847,2.71699,0.120664,0.179385,-0.0270133,0.00681165,0.00353771,0.02808259860939867,1,0.035,-0.0117069,-0.0108803,-0.0138663,-0.00111534,,0.00661574,1,0.015,0.187277,1,1,1,1,-0.00801528,0.0175938,-0.0243905,-0.00769286,2.32396,2.66152,2.44594,2.66961
14.005,2.796,0.0992964,0.172042,2.76749,0.0999119,0.169242,-0.0285077,0.000615459,-0.00279956,0.0286514447325834,1,0.085,-0.0121807,0.00369771,0.00976289,-0.0013329,,0.00798297,1,0.005,0.187919,1,1,1,1,0.0215177,-0.00965988,-0.0132736,0.0141446,2.30554,2.67926,2.45738,2.62742
